user_id,timestamp,sentence,categories,type,evaluation.timely,evaluation.relevance,evaluation.high-level,evaluation.specificity,evaluation.justification,evaluation.active,evaluation.sentiment
1.0,2024-08-12 6:19:18,어떤 절차로 구성되나요?,Question,Low-Level,4.0,5.0,1.0,,,,0
1.0,2024-08-12 6:19:52,입양자의 자격을 심사하던 평가자라면 쉽게 신뢰를 쌓을 수 있을거에요.,Statement,Evaluation,,,,5.0,4.0,3.0,1
1.0,2024-08-12 6:21:13,또한 평가자는 바꾸지 않고 오래 유지해야 입양자의 상황을 더 잘 이해할 수 있을 것이에요.,Statement,Recommendation,,,,5.0,5.0,4.0,1
1.0,2024-08-12 6:21:50,정기방문 평가 기준을 다 똑같이 적용하지 말고 입양자의 상황에 맞게 한다면 좋을 것 같은데 가능할까요?,Question,Generate Design,5.0,5.0,4.0,,,,1
1.0,2024-08-12 6:22:34,입양자가 반려동물의 상태를 온라인으로 보고할 수 있다고 했는데 그럼 앱이나 웹사이트가 있는것인가요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:23:05,그럼 앱이나 웹사이트가 있는것인가요?,Question,Feature Specification,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:23:34,어떤 문제들을 보고할 수 있나요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:23:35,감정적인 준비 상태가 정확히 어떤 것을 말하는 것일까요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:24:46,What does X mean?,Question,Definition,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:25:17,실제로 반려동물을 키우는 사람들의 경험담이 도움될 수 있을 것 같아요.,Statement,Recommendation,,,,5.0,4.0,5.0,1
1.0,2024-08-12 6:26:09,사람들이 흔히 생각하지 못하는 병원비 문제나 반려동물이 주는 단점들을 실감있게 알 수 있을 것이에요.,Statement,Information,,,,5.0,5.0,4.0,1
1.0,2024-08-12 6:27:00,그럼에도 불구하고 반려동물이 주는 장점도 알 수있을것같아요,Statement,Information,,,,4.0,4.0,4.0,1
1.0,2024-08-12 6:28:20,다른 입양 희망자와 교류할 수 있는 방법이 있으면 좋을 것 같은데 어떻게 생각하나요,Question,Generate Design,5.0,5.0,5.0,0.0,0.0,0.0,1
1.0,2024-08-12 6:29:21,입양희망자가 자격을 갖춘 후에는 어떤식으로 반려동물과 매칭되나요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:29:22,입양희망자가 선택할 수는 없나요,Question,Generate Design,5.0,6.0,4.0,0.0,0.0,0.0,0
1.0,2024-08-12 6:30:09,단순히 성격등이 나와있는 프로필을 보기보다는 입양희망자와 반려동물이 직접 만나는 단계가 있었으면 좋겠어요.,Statement,Recommendation,,,,6.0,5.0,6.0,1
1.0,2024-08-12 6:30:15,실제로 살아있는 생명인만큼 직접 만나서 겪어보고 판단해야한다고 생각해요,Statement,Evaluation,,,,5.0,6.0,5.0,1
,,성격에 따라 매칭한다고 하였는데 반려동물의 성격은 어떻게 판단하나요?,Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
,,반려동물의 성격은 어떻게 판단하나요?,Question,Feature Specification,5.0,5.0,1.0,0.0,0.0,0.0,0
,,요즘에는 특정 종의 동물을 과시하고싶어하는 사람들이 많다고 들었어요.,Statement,Information,,,,3.0,2.0,1.0,0
,,특정 종만을 원하는 입양희망자는 어떻게 대처할것인가요?,Question,Generate Design,5.0,5.0,4.0,,,,0
,,"유기된 동물을 케어하고, 전문인력을 섭외하여 입양 희망자를 평가하고 입양후에도 케어하려면 많은 자본이 필요할 것 같아요.",Statement,Evaluation,,,,6.0,6.0,5.0,0
,,petit의 수익구조는 이를 감당할 수 있을까요?,Question,Deep Reasoning,6.0,7.0,5.0,,,,0
,,최근 동물을 내세워 제품을 판매하다가 잠적한 사기꾼 등의 사례를 많이 봤어요.,Statement,Information,,,,5.0,4.0,2.0,-1
,,동물은 어떻게 선정할 것인가요?,Question,Low-Level,3.0,4.0,1.0,,,,0
2.0,2024-08-12 4:16:22,학생증을 활용해서 전기를 절약하는 좋은 아이디어인 것 같아!,Statement,Evaluation,,,,3.0,2.0,2.0,1
2.0,2024-08-12 4:20:10,"다만 며칠 전 뉴스를 봤는데, 에어컨을 활용할 때 에어컨을 반복적으로 껐다 키는 것보다 에어컨을 일정 온도에 맞춰두고 계속 켜 두는 게 전기 절약 측면에서 더 효과적이라고 들었어.",Statement,Information,,,,5.0,5.0,3.0,0
2.0,2024-08-12 4:21:50,에어컨을 외출할때마다 껐다 키는것과 계속 켜두는 것 중에서 어떤 것이 전기 절약에 더 효율적인지를 고민해봤으면 좋겠어,Statement,Recommendation,,,,4.0,4.0,5.0,0
2.0,2024-08-12 4:21:51,좋은 아이디어인 것 같아!,Statement,Evaluation,,,,1.0,1.0,1.0,1
2.0,2024-08-12 4:24:35,"그렇게 된다면 학교 측에서 정해진 시간에 하루 3번씩 에어컨을 자동으로 제어할 필요 없이,",Statement,Information,,,,5.0,5.0,3.0,1
2.0,2024-08-12 4:26:43,기숙사 방 내의 학생의 유무에 따라 더욱 효과적으로 에너지를 절약할 수 있을 것 같넹,Statement,Evaluation,,,,4.0,4.0,4.0,1
2.0,2024-08-12 4:28:58,기숙사 에어컨의 최저 온도가 설정되어있어서 26도 이하로는 에어컨 온도를 설정하지 못하는 것으로 알고 있어.,Statement,Information,,,,6.0,5.0,3.0,0
2.0,2024-08-12 4:28:59,그래서 에어컨 조절 버튼에 막대기를 끼우거나 하는 부적절한 방식으로 에어컨 온도를 계속 낮추려고 하는 친구들이 많은 것 같아.,Statement,Information,,,,6.0,5.0,3.0,-1
2.0,2024-08-12 4:29:27,이는 에어컨 기기의 고장을 유발할 수 있으니 에어컨의 적정 온도를 학생들의 요구를 반영하면 좋지 않을까?,Statement,Recommendation,,,,5.0,6.0,6.0,1
2.0,2024-08-12 4:31:30,"그리고 탄소 배출 절감 및 불필요한 전기 사용을 방지하기 위해서, 에어컨 및 전등 뿐만 아니라, 전기 콘센트도 함께 제어할 수 있도록 하는 것은 어때?",Question,Generate Design,6.0,7.0,5.0,0.0,0.0,0.0,1
2.0,2024-08-12 4:33:33,"냉장고와 같이 상시적으로 켜두어야하는 전자제품이 연결되어 있는 콘센트는 안되겠지만,",Statement,Information,,,,6.0,5.0,0.0,0
2.0,2024-08-12 4:35:23,"책상 위에 마련된 전기 콘센트들의 경우, 귀찮다거나 자주 까먹는다는 이유로 학생들이 고데기나 충전기 등을 꽂아둔 채로 외출하는 경우가 많아.",Statement,Information,,,,6.0,5.0,0.0,0
2.0,2024-08-12 4:35:24,이러한 전기들은 충분히 학생증을 활용한 제어 시스템으로 절약할 수 있을 것 같다,Statement,Recommendation,,,,5.0,5.0,6.0,1
2.0,2024-08-12 4:36:02,"통합 제어 시스템이라고 하니 생각 났는데, 기숙사에 있는 공용공간에도 이를 적용할 수 있을 것 같아.",Statement,Recommendation,,,,5.0,4.0,5.0,1
2.0,2024-08-12 4:37:24,"보통 휴게실이나 스터디룸 같은 경우, 사람들이 사용하고 나가면서 전등이나 에어컨을 끄지 않고 그냥 나가는 경우가 많거든.",Statement,Information,,,,5.0,4.0,0.0,0
2.0,2024-08-12 4:38:19,이러한 경우에도 제어 시스템을 적용할 수 있을 것 같아,Statement,Recommendation,,,,4.0,4.0,5.0,1
2.0,2024-08-12 4:38:50,"하지만 휴게실의 경우, 동시간대에 여러 사람이 한 공간을 사용할 수도 있잖아?",Question,Low-Level,5.0,5.0,1.0,0.0,0.0,0.0,0
2.0,2024-08-12 4:38:57,"근데 학생증으로 제어를 한다면 학생증 분실우려도 있고, 학생증을 꽂아둔 사람이 먼저 나가게되면 휴게실에 남아있는 사람이 자신의 학생증을 다시 꽂아야하는 불편함이 있어..",Statement,Evaluation,0.0,0.0,0.0,6.0,6.0,5.0,-1
,,이정도는 감수를 해야할까?,Question,Judgmental,5.0,5.0,3.0,0.0,0.0,0.0,0
,,조금 더 나은 해결방안이 있을 것 같은데...,Question,Proposal/Negotiation,5.0,5.0,4.0,0.0,0.0,0.0,0
,,에어컨을 동작 감지 센서만으로 전원을 끄고 키는 방식은 아까 말했듯이 오히려 비효율적일 수도 있을 것 같아.,Statement,Evaluation,,,,5.0,4.0,3.0,-1
,,동작 감지 센서 이외에 공간 내 사람의 유무를 판단할 수 있는 다른 센서를 함께 사용하는 것은 어떨까?,Question,Generate Design,6.0,6.0,5.0,0.0,0.0,0.0,1
,,아니면 해당 공간들에서는 사람들이 보통 의자에 앉아서 시간을 보내니 의자에 압력 센서를 설치하거나 할수도 있지 않을까?,Question,Generate Design,6.0,7.0,5.0,0.0,0.0,0.0,1
,,하지만 효율적일지는 모르겠어,Statement,Evaluation,0.0,0.0,0.0,5.0,4.0,3.0,0
,,나도 그 점이 부족하다고 생각해.,Statement,Evaluation,,,,3.0,2.0,1.0,0
,,더 효과적이고 유지보수가 쉬운 다른 센서를 생각해보는 게 좋을 것 같아,Statement,Recommendation,,,,4.0,3.0,5.0,1
3,2024-08-16 4:15:37,개가 짖는 소리와 당시의 구체적인 상황에 대한 데이터는 어떻게 수집할건가요?,Question,Deep Reasoning,6.0,7.0,5.0,0.0,0.0,0.0,0
3,2024-08-16 4:17:55,이런 기능을 제공하는 어플이 있는 걸로 알고 있는데,Statement,Information,,,,3.0,2.0,1.0,0
3,2024-08-16 4:19:31,그 어플은 어떤 식으로 작동하는 건지 알고있나요?,Question,Low-Level,3.0,4.0,1.0,,,,0
3,2024-08-16 4:20:44,"강아지는 말을 못하니까 짖는 상황이 구체적이지 않으면 소리에 감정만 담길뿐, 구체적인 요구나 의미를 찾기 힘들 것 같아요",Statement,Evaluation,,,,5.0,5.0,3.0,0
3,2024-08-16 4:21:10,그럴수도 있겠네용,Statement,Evaluation,,,,1.0,1.0,1.0,0
3,2024-08-16 4:21:59,짖는 소리 말고 끙끙대거나 으르렁 거리는 소리 데이터도 수집할건가요?,Question,Generate Design,6.0,7.0,5.0,0.0,0.0,0.0,0
3,2024-08-16 4:23:20,보통 강아지와 주인은 정서적 교류가 활발해서 저런 변역기 없이도 소통이 잘 된다고 생각하면 어쩌죠,Question,Deep Reasoning,5.0,5.0,5.0,0.0,0.0,0.0,0
3,2024-08-16 4:24:01,강아지가 아플 때 빨리 대응할 수 있게 해주는건 좋은 것 같아요,Statement,Evaluation,,,,4.0,3.0,2.0,1
3,2024-08-16 4:24:02,영상으로 수집。,Statement,Recommendation,,,,2.0,1.0,2.0,0
3,2024-08-16 4:24:30,강아지가 짖을 때마다 스피커로 자동번역 내용이 들리는 건 좀 시끄러울 것 같아요,Statement,Evaluation,,,,5.0,4.0,3.0,-1
3,2024-08-16 4:25:56,그럼 필요할 때만 열람할 수 있어서 좋을 것 같아요,Statement,Evaluation,,,,5.0,4.0,3.0,1
3,2024-08-16 4:26:34,거부감도 줄어들고,Statement,Evaluation,,,,3.0,3.0,2.0,1
3,2024-08-16 4:26:35,"유튜브 보니까 ,,, 고양이 목에 작은 카메라를 달아서 고양이 관점으로 혼자 노는 장면을 영상으로 기록하는 사람이 있던데",Statement,Information,,,,5.0,4.0,3.0,1
3,2024-08-16 4:27:36,그런건 어때여,Question,Generate Design,4.0,5.0,3.0,,,,1
3,2024-08-16 4:30:15,만약에 모델을 만들었는데 정확도가 너무 낮으면 어떻게 되는거지,Question,Generate Design,5.0,6.0,4.0,0.0,0.0,0.0,0
3,2024-08-16 4:30:54,혼자하는 프로젝트인가요,Question,Concept Completion,5.0,4.0,3.0,0.0,0.0,0.0,0
3,2024-08-16 4:33:10,만약 소리를 잘 안내는 강아지가 있다면,Question,Scenario Creation,5.0,5.0,4.0,0.0,0.0,0.0,0
3,2024-08-16 4:33:11,번역이 잘 되는 거 위주로 보여주면 되지 않을까여。,Question,Generate Design,5.0,6.0,4.0,0.0,0.0,0.0,1
3,2024-08-16 4:34:33,앱을 통해서 번역내용을 확인하는게 귀찮을 수도 있을 것 같아요,Statement,Evaluation,,,,4.0,3.0,2.0,-1
4.0,2024-08-14 4:04:30,스트리밍 서비스의 알고리즘에 의해 위험한 컨텐츠가 덜컥 추천될 수 있다는 점이 바로 떠오르는 만큼 문제 의식에 공감하는 바입니다.,Statement,Evaluation,,,,5.0,4.0,3.0,1
4.0,2024-08-14 4:08:15,"현재 존재하는 아동의 안전한 인터넷 사용을 위한 프로그램으로서 유튜브 키즈가 떠오르는데, 이와 비교했을 때 보다 범용성 있게 사용될 수 있을 것 같아서 긍정적으로 봅니다.",Statement,Evaluation,,,,5.0,4.0,3.0,1
4.0,2024-08-14 4:11:26,"다만, AI 추천 시스템이 가지는 오류에 대해서도 우려가 됩니다.",Statement,Evaluation,,,,4.0,4.0,3.0,-1
4.0,2024-08-14 4:11:27,"실제로 유해하지 않은 컨텐츠인 경우에도 실수로 차단되는 상황이 있을 것 같은데, 이러한 점에 대한 동건 님의 생각을 듣고 싶습니다.",Question,Judgmental,5.0,5.0,4.0,,,,0
4.0,2024-08-14 4:14:16,예외 처리 기능을 고려하고 계신다는 점을 높게 삽니다.,Statement,Evaluation,,,,6.0,5.0,4.0,1
4.0,2024-08-14 4:14:47,말씀하신대로 보다 유연성을 높일 수 있을 듯합니다.,Statement,Evaluation,,,,5.0,5.0,4.0,1
4.0,2024-08-14 4:17:57,"다만, Safeview를 처음 사용하는 부모님들의 경우 다양한 콘텐츠 유형에 대한 이해도가 부족할 수 있다고 생각합니다.",Statement,Evaluation,,,,6.0,6.0,5.0,0
4.0,2024-08-14 4:17:58,자신의 아이들에게 어떤 콘텐츠가 적절하거나 적절하지 않은지 판단이 어려울 수 있다고 생각한다는 것이죠.,Statement,Evaluation,,,,6.0,6.0,5.0,0
4.0,2024-08-14 4:20:25,이런 경우 사용하는 부모님들에게 도움을 줄 수 있는 가이드라인을 고려해보신 바가 있을까요?,Question,Generate Design,6.0,6.0,5.0,,,,0
4.0,2024-08-14 4:22:45,"부모님들이 콘텐츠 유형을 직접 입력하기보다는, 자녀의 나이를 입력했을 때 해당 나이대의 아이들에게 적절한 콘텐츠 유형 몇 가지를 자동으로 추천해주고 그 중에서 선택을 할 수 있는 방법이 부담을 줄여줄 수 있을 듯합니다.",Statement,Recommendation,,,,6.0,5.0,6.0,1
4.0,2024-08-14 4:22:46,"나아가, 자녀가 특정 유형의 영상에 관심을 보인다면 그 관심사를 더욱 발전시킬 수 있는 추가적인 콘텐츠 유형을 추천하고 이를 업데이트할 수 있는 기능 또한 있다면 보다 발전적인 방향으로 스트리밍 서비스를 사용할 수 있을 것 같아요.",Statement,Recommendation,,,,5.0,5.0,6.0,1
4.0,2024-08-14 4:23:15,피드백을 받고 빠르게 업데이트해주신 것이 인상적입니다.,Statement,Evaluation,,,,3.0,2.0,1.0,1
4.0,2024-08-14 4:26:29,"하지만 이와 별개로, 영상 콘텐츠를 실시간으로 분석하고 차단한다는 말이 눈에 들어옵니다.",Statement,Evaluation,,,,3.0,2.0,1.0,0
4.0,2024-08-14 4:26:52,"플랫폼에 업로드된 영상을 모두 사전에 분석한 다음 피드에 뜨는 영상을 이에 따라 관리하는 방법도 있을 것 같은데,",Statement,Recommendation,,,,4.0,3.0,4.0,0
4.0,2024-08-14 4:27:02,이와 비교해 실시간 분석이 가지는 장점이 무엇인지 궁금합니다.,Question,Comparison,5.0,5.0,5.0,,,,0
,,말씀하신 바와 같이 사전 분석을 한다면 이미 플랫폼에 올라와 있는 수많은 영상을 검수해야 하기 때문에 시간이 오래 걸릴 것 같다는데 동의합니다.,Statement,Evaluation,,,,6.0,6.0,4.0,1
,,"나아가, AI 필터에 무언가 오류가 발생하여 이것을 업데이트해야 한다면 모든 영상에 대해 처음부터 다시 분석을 해야 하기 때문에 비효율적이겠죠.",Statement,Evaluation,,,,6.0,6.0,4.0,1
,,이처럼 필터에 어떠한 수정 사항이 있을 때 이것을 쉽게 반영할 수 있다는 점을 강조하면 좋을 것 같습니다.,Statement,Recommendation,,,,5.0,5.0,6.0,1
,,이야기를 나눌수록 발전되는 아이디어가 보다 좋은 방향으로 활용될 수 있을 것이라고 느낍니다.,Statement,Evaluation,,,,3.0,4.0,2.0,1
,,"지금의 타겟은 아동 자녀를 둔 부모인데, Safeview가 잘 개발되는 경우 트라우마를 지닌 성인들에게도 도움이 될 수 있을 것처럼 보입니다.",Statement,Evaluation,,,,4.0,4.0,3.0,1
,,이처럼 아이디어의 확장성에 대해서도 고민해보신 바가 있으신가요?,Question,Generate Design,5.0,5.0,5.0,,,,1
,,"필터를 설정하는 등 사전에 부모님이 사용하기 쉽게 디자인하는 것은 물론, 영상 시청 중 Safeview가 잘 작동되고 있는지 확인이 가능하면 더욱 좋은 사용자 경험이 될 것 같습니다.",Statement,Recommendation,,,,6.0,5.0,6.0,1
,,"열심히 설정을 해 두었는데, 과연 이게 제대로 되고 있는 건지 아닌지 알지 못한다면 안절부절못할 것 같다는 생각이 들어요.",Statement,Evaluation,,,,5.0,5.0,4.0,-1
,,이러한 것을 안내해줄 수 있는 UI 요소가 존재한다면 더욱 좋겠습니다.,Statement,Recommendation,,,,5.0,5.0,6.0,1
5.0,2024-08-16 8:20:19,"대중교통 이용 시 발생하는 불편으로 인해 대중교통 이용이 감소하는 문제를 해결하기 위해, 저탄소 교통을 탐으로서 절약한 탄소량 ㅈ어보를 제공하는 솔루션을 디자인하려고 하는 게 맞으실까요?",Question,Low-Level: Verification,5.0,5.0,1.0,0.0,0.0,0.0,0
5.0,2024-08-16 8:21:24,해당 솔루션이 도출되게 된 이유가 궁금합니다.,Question,Deep Reasoning,5.0,6.0,5.0,0.0,0.0,0.0,0
5.0,2024-08-16 8:22:34,"유저가 겪는 문제는 정보의 부족으로 인한 것이 아닌데,",Statement,Evaluation,0.0,0.0,0.0,6.0,5.0,4.0,0
5.0,2024-08-16 8:24:47,그 솔루션이 문제를 해결할 수 있을 거라고 생각하신 근거가 있으실까요?,Question,Deep Reasoning,5.0,6.0,5.0,0.0,0.0,0.0,0
5.0,2024-08-16 8:27:23,"저는 디자인을 진행하기에 앞서 명확한 문제해결 프로세스를 정의하고 넘어가는 것이 방향성을 잘 잡는 데 있어서 중요하다고 생각해서, 해당 부분을 확인하고 싶었어요.",Statement,Recommendation,,,,6.0,6.0,5.0,1
5.0,2024-08-16 8:27:24,"다만 아직 해당 솔루션의 설득력이 다소 부족한 느낌이 있어서, 비슷하게 정보 전달 > 인식 개선 > 행동 변화로 이어지게 된 레퍼런스가 있다면 좋을 것 같아요.",Statement,Recommendation,,,,5.0,5.0,5.0,0
5.0,2024-08-16 8:29:45,"저도 당장 생각나는 적합한 예시는 없는 거 같은데,",Statement,Information,,,,1.0,1.0,1.0,0
5.0,2024-08-16 8:29:47,최근에 다른 프로젝트를 하면서 참고했던 사이트는 규격 외 농산물인 못난이 농산물들을 유통하는 어글리어스라는 플랫폼이에요!,Statement,Information,,,,5.0,4.0,3.0,1
5.0,2024-08-16 8:31:40,"못난이 농산물들이 원래는 못생겼다는 이유로 전부 버려졌었는데,",Statement,Information,,,,4.0,4.0,2.0,1
5.0,2024-08-16 8:34:23,해당 농산물들을 통해서도 멋있는 요리를 할 수 있다는 요리 레시피 콘텐츠들을 함께 제공하면서 인식 개선부터 농산물 소비 유도까지 이끌어 낸 서비스라 참고할 만한 부분이 있을 것 같아요.,Statement,Recommendation,,,,6.0,6.0,6.0,1
5.0,2024-08-16 8:34:25,"유저가 대중교통을 이용하면서 겪는 문제에 대해서는 공감할 만한 문제점을 잘 지적해주신 거 같은데,",Statement,Evaluation,,,,5.0,4.0,3.0,1
5.0,2024-08-16 8:35:56,해당 솔루션이 실제로 효과를 지닐지에 대해서는 추가적으로 검증이 필요할 거 같아요.,Statement,Evaluation,,,,4.0,5.0,4.0,0
5.0,2024-08-16 8:37:15,"관련해서 솔루션 검증을 위한 유저 리서치를 진행해본다든지,",Statement,Recommendation,,,,5.0,5.0,6.0,1
5.0,2024-08-16 8:39:27,같은 문제를 해결할 수 있는 다른 솔루션들은 없을지 충분히 많이 브레인스토밍해보고 각 아이디어를 평가하고 비교해본다든지 해보면 좋을 거 같아요!,Statement,Recommendation,,,,5.0,5.0,6.0,1
,,"사용자의 경험과 당시의 감정, 인식에 대해 묻는 개방형 질문들을 위주로 구성하되,",Statement,Recommendation,,,,6.0,5.0,6.0,1
,,너무 열리지 않고 명확한 목적을 지닌 질문 카테고라이징을 사전에 잘 해두면 좋을 거 같아요.,Statement,Recommendation,,,,6.0,5.0,6.0,1
,,경험상 폐쇄적인 질문들은 큰 인사이트를 주지 못했던 것 같습니다.,Statement,Evaluation,,,,5.0,5.0,5.0,1
,,그건 인터뷰 목적에 따라 달라질 것 같아요.,Statement,Evaluation,,,,2.0,3.0,2.0,0
,,"지금 동건님이 인터뷰를 통해 확인하고 싶은 것이 '유저가 대중교통 이용 시 어떤 어려움을 겪는지 문제를 탐색하는 것'인지, '대중교통 이용 시 발생하는 부정 경험들로 인한 대중교통 이용 기피 문제를 절약한 탄소량 정보 제공을 통해 극복할 수 있을 것인지 검증하는 것'인지 명확히 하면 좋을 것 같습니다.",Statement,Recommendation,,,,5.0,5.0,5.0,0
,,다소 두서없이 설명한 것 같은데 전달이 되었을까요?,Question,Judgmental,3.0,3.0,2.0,,,,0
,,"음... 탄소 절감 효과에 대해 인식을 하고 있었음에도 행동변화까지 이어지지 못한 이유에 대해 원인 가설을 몇 가지 세워보고, 해당",Statement,Recommendation,,,,5.0,4.0,5.0,0
6.0,2024-08-14 6:11:21,아주 중요한 문제 상황을 다루고 있네요.,Statement,Evaluation,,,,2.0,3.0,2.0,1
6.0,2024-08-14 6:14:16,아동 보호를 위한 목적이어도 특히 어떤 문제 상황을 다루고자 하는지에 따라 디자인이 많이 달라질 수 있어요.,Statement,Information,,,,4.0,4.0,3.0,0
6.0,2024-08-14 6:15:39,구체적으로 타겟하고자하는 상황이 있나요?,Question,Low-Level,3.0,4.0,1.0,,,,0
6.0,2024-08-14 6:15:41,가정 내 아동학대 상황에 관심이 있군요.,Statement,Evaluation,,,,3.0,2.0,2.0,0
6.0,2024-08-14 6:17:12,정말 심각한 문제라 대응이 정말 필요한 문제임과 동시에 굉장히 다루기 어려운 문제인데요.,Statement,Evaluation,,,,3.0,3.0,2.0,0
6.0,2024-08-14 6:17:54,가정 내 아동학대의 주요 가해자는 누구인지 조사를 해보았나요?,Question,Low-Level,3.0,4.0,1.0,,,,0
6.0,2024-08-14 6:21:03,"비밀리에 감시하기 위해 웨어러블 기기가 효과적일 수 있는데,",Statement,Evaluation,,,,5.0,4.0,3.0,0
6.0,2024-08-14 6:21:05,항상 착용하고 있는 기기인 경우 일상을 감시하게 되기 때문에 프라이버시 문제 등 심각한 인권 침해 문제와 연결 될 수 있어요.,Statement,Evaluation,,,,6.0,6.0,4.0,-1
6.0,2024-08-14 6:23:02,그렇기 때문에 '비밀리에 감시'하는 것과는 다른 접근 방식이 필요할 것 같아요,Statement,Recommendation,,,,5.0,5.0,5.0,0
6.0,2024-08-14 6:25:43,그리고 동건님 아까 이야기했을 때 가정 내 아동학대의 주요 가해자는 부모나 가족 구성원이라는 점을 얘기했던 거 기억나죠?,Statement,Information,,,,5.0,5.0,3.0,0
6.0,2024-08-14 6:29:50,"아동의 경우 스스로 물품을 구매하기 보다는 부모가 다신 구매하는 경우가 많은데, 이런 웨어러블 기기가 출시되었을 때 아동에게 도달할 수 있으려면 부모를 설득해야할 수 있기 때문에 또 문제가 발생할 수 있어요.",Statement,Evaluation,,,,6.0,6.0,4.0,-1
6.0,2024-08-14 6:29:52,"부모를 설득할 필요 없이 제품을 복지 정책의 일환으로 무료로 나눠주는 상황을 가정해본다면, 예산이 많이 필요해 실현 가능성이 많이 떨어질 거에요.",Statement,Evaluation,,,,6.0,6.0,4.0,-1
6.0,2024-08-14 6:30:49,웨어러블 기기가 아닌 다른 방향으로 생각해보는 건 어떨까요?,Statement,Recommendation,,,,4.0,4.0,5.0,0
6.0,2024-08-14 6:31:27,"추가적으로 고려해야하는 중요한 요소는, 아동 학대 문제가 발생했을 때 주로 어떤 이해관계자가 도움을 줄 수 있는지에요.",Statement,Recommendation,,,,5.0,5.0,5.0,1
6.0,2024-08-14 6:31:43,"동건님이 잘 말씀해주신 것처럼 학교나 복지 기관 관련자가 도움을 줄 수도 있고, 주변에 있는 동네 이웃이나 친구, 같이 살지 않는 친척 등이 도움이 될 수 있겠죠.",Statement,Information,,,,5.0,5.0,0.0,1
,,이런 다양한 이해관계자를 고려하는 것이 중요해요.,Statement,Recommendation,,,,4.0,4.0,4.0,1
,,너무 좋아요!,Statement,Evaluation,,,,1.0,1.0,1.0,1
,,아주 구체적이면서 다양한 방향으로 아이디어를 내봤네요?,Statement,Evaluation,,,,3.0,2.0,1.0,1
,,훌륭한 학생입니다...,Statement,Evaluation,,,,1.0,1.0,1.0,1
